,ID,Gender,Age,Customer Type,Type of Travel,Class,Flight Distance,Departure Delay,Arrival Delay,Departure and Arrival Time Convenience,Ease of Online Booking,Check-in Service,Online Boarding,Gate Location,On-board Service,Seat Comfort,Leg Room Service,Cleanliness,Food and Drink,In-flight Service,In-flight Wifi Service,In-flight Entertainment,Baggage Handling
50000,50001,Female,45,Returning,Business,Business,56,0,0.0,2,2,4,3,2,4,4,4,4,5,4,1,4,1
50001,50002,Female,33,Returning,Business,Business,2926,0,0.0,5,3,2,4,3,3,3,3,3,1,3,3,3,3
50002,50003,Female,45,Returning,Business,Economy,109,3,1.0,2,2,4,2,2,4,5,4,1,2,4,4,4,4
50003,50004,Male,35,Returning,Business,Business,86,0,0.0,2,2,2,3,2,1,3,1,3,2,1,3,1,3
50004,50005,Male,30,Returning,Business,Economy,199,59,50.0,4,4,2,1,4,4,1,4,1,1,2,1,1,3
50005,50006,Female,59,Returning,Business,Economy,86,36,30.0,4,4,1,2,4,3,3,3,4,3,3,3,3,3
50006,50007,Male,38,Returning,Business,Business,2317,0,0.0,5,5,4,2,5,5,1,4,2,4,5,5,5,5
50007,50008,Male,63,Returning,Business,Economy,209,31,48.0,2,2,2,2,2,2,2,2,2,2,2,2,2,3
50008,50009,Female,55,Returning,Business,Economy,337,0,0.0,1,5,2,4,1,4,3,4,2,3,4,4,4,4
50009,50010,Male,31,Returning,Business,Economy,86,0,0.0,4,4,2,4,4,3,4,3,4,4,5,4,4,1
50010,50011,Female,34,Returning,Business,Business,3062,0,14.0,1,1,2,3,1,3,4,3,4,3,3,3,3,3
50011,50012,Female,20,First-time,Business,Economy,308,0,0.0,1,3,3,3,3,2,2,4,2,2,2,3,2,2
50012,50013,Male,50,First-time,Business,Economy,158,83,98.0,1,3,2,3,3,3,2,3,2,2,3,3,2,3
50013,50014,Female,38,Returning,Business,Business,2787,4,11.0,2,2,1,4,2,1,3,1,4,3,1,1,1,1
50014,50015,Female,34,First-time,Business,Economy,373,0,0.0,0,2,5,2,3,5,4,2,4,4,3,2,4,5
50015,50016,Female,40,First-time,Business,Business,262,55,70.0,4,4,2,4,1,5,4,2,4,4,3,4,4,5
50016,50017,Female,37,Returning,Business,Business,110,0,1.0,1,1,1,3,1,3,3,3,1,1,3,3,3,3
50017,50018,Female,17,Returning,Business,Economy,308,0,0.0,4,4,1,3,4,4,2,2,3,3,2,3,3,2
50018,50019,Male,66,Returning,Business,Business,1860,0,20.0,2,2,1,1,2,2,2,2,3,4,2,2,2,2
50019,50020,Female,44,Returning,Business,Business,156,0,0.0,5,5,3,3,5,5,4,5,5,3,5,5,5,4
50020,50021,Female,37,Returning,Business,Economy,153,73,73.0,5,5,3,4,5,4,4,5,4,4,4,4,4,4
50021,50022,Female,49,Returning,Business,Economy,308,0,0.0,5,5,4,4,5,3,4,3,1,4,3,3,3,3
50022,50023,Female,36,Returning,Business,Business,1899,0,0.0,1,1,2,2,1,4,3,4,2,2,4,1,4,4
50023,50024,Female,23,First-time,Business,Economy,262,0,0.0,0,4,4,4,2,5,1,2,1,1,4,4,1,5
50024,50025,Female,57,First-time,Business,Economy,158,0,3.0,3,2,1,2,3,4,1,1,1,1,3,2,1,3
50025,50026,Female,38,First-time,Business,Economy,89,0,0.0,4,4,4,4,4,1,3,1,3,3,4,4,3,3
50026,50027,Male,42,Returning,Business,Business,308,18,25.0,1,1,3,4,1,1,4,1,4,3,1,1,1,1
50027,50028,Male,26,Returning,Business,Economy,109,0,0.0,2,3,2,1,2,3,3,5,1,1,4,1,1,3
50028,50029,Female,42,Returning,Business,Economy,308,0,0.0,4,4,4,4,4,4,4,4,4,5,4,4,4,4
50029,50030,Female,65,Returning,Business,Business,2256,0,1.0,4,4,4,4,4,2,4,2,1,5,2,2,2,2
50030,50031,Male,51,Returning,Business,Business,373,31,37.0,2,4,1,2,4,2,2,2,1,4,2,2,2,2
50031,50032,Female,30,Returning,Business,Economy,78,0,0.0,5,5,4,1,5,3,1,2,1,1,3,1,1,4
50032,50033,Female,66,Returning,Business,Economy,262,21,8.0,4,4,2,3,4,4,3,3,4,2,4,3,4,4
50033,50034,Male,45,Returning,Business,Business,3653,7,0.0,4,4,4,3,4,3,3,3,1,2,3,2,3,2
50034,50035,Male,33,First-time,Business,Economy,134,0,0.0,0,4,5,4,1,2,3,4,3,3,1,4,3,2
50035,50036,Male,52,Returning,Business,Economy,77,0,1.0,1,1,2,3,1,3,2,4,2,2,4,3,2,4
50036,50037,Female,65,Returning,Business,Economy,337,0,0.0,2,4,3,3,4,3,4,3,1,3,3,3,3,3
50037,50038,Female,31,Returning,Business,Business,190,0,0.0,3,3,1,4,3,2,4,2,4,4,4,3,4,4
50038,50039,Male,26,Returning,Business,Business,308,0,27.0,3,3,1,4,3,3,4,2,4,4,4,4,4,3
50039,50040,Male,55,First-time,Business,Economy,86,0,1.0,3,2,3,2,4,4,1,2,1,1,3,2,1,4
50040,50041,Female,61,Returning,Business,Economy,134,0,0.0,4,4,1,3,4,2,4,2,2,3,2,2,2,2
50041,50042,Male,27,First-time,Business,Economy,207,0,0.0,0,2,1,2,1,1,1,5,4,4,4,2,4,2
50042,50043,Male,46,Returning,Business,Economy,89,0,0.0,1,1,3,5,1,1,5,1,5,5,5,5,5,2
50043,50044,Female,39,Returning,Business,Economy,421,0,0.0,5,2,4,4,5,1,4,4,4,4,1,4,4,1
50044,50045,Male,33,Returning,Business,Business,89,0,0.0,3,3,4,2,3,4,2,5,2,2,3,2,2,4
50045,50046,Male,44,First-time,Business,Economy,109,0,0.0,1,3,4,3,3,3,3,4,3,3,3,3,3,4
50046,50047,Male,50,Returning,Business,Business,3951,0,0.0,3,0,4,5,2,1,5,1,2,5,1,0,1,1
50047,50048,Female,43,Returning,Business,Economy,109,0,0.0,2,4,1,4,4,3,3,3,4,5,3,3,3,3
50048,50049,Female,35,Returning,Business,Economy,337,34,33.0,1,1,4,3,1,3,3,1,3,3,4,3,3,3
50049,50050,Male,54,Returning,Business,Business,3280,0,3.0,1,1,2,4,1,5,5,5,1,1,5,1,5,5
50050,50051,Male,32,First-time,Business,Business,363,0,0.0,2,2,1,2,4,2,4,5,4,4,4,2,4,3
50051,50052,Female,27,Returning,Business,Business,2611,0,0.0,0,0,4,3,1,1,3,5,4,4,4,0,4,5
50052,50053,Female,38,Returning,Business,Business,1888,0,0.0,2,3,2,4,2,2,3,3,3,2,2,2,2,2
50053,50054,Female,40,Returning,Business,Business,262,106,106.0,3,3,4,3,3,2,4,2,4,5,2,2,2,2
50054,50055,Male,54,First-time,Business,Economy,158,0,0.0,4,1,3,1,4,2,5,5,5,5,4,1,5,4
50055,50056,Male,35,Returning,Business,Business,3460,0,0.0,2,2,2,4,2,3,3,3,1,5,3,3,3,3
50056,50057,Male,52,Returning,Business,Economy,326,0,0.0,4,4,1,4,4,3,4,4,4,4,1,4,4,1
50057,50058,Female,48,Returning,Business,Economy,337,0,0.0,2,2,1,3,2,5,3,5,4,1,5,5,5,5
50058,50059,Female,46,Returning,Business,Economy,109,0,0.0,4,4,1,4,4,3,3,3,3,5,3,3,3,3
50059,50060,Female,21,First-time,Business,Economy,373,0,0.0,3,4,4,4,2,4,1,2,3,3,3,4,3,5
50060,50061,Female,41,First-time,Business,Business,304,0,0.0,2,2,2,2,4,5,1,5,1,1,4,2,1,4
50061,50062,Female,43,Returning,Business,Economy,86,0,0.0,2,2,4,3,2,5,5,5,5,2,5,5,5,5
50062,50063,Female,36,Returning,Business,Economy,373,25,27.0,2,2,2,2,2,4,2,5,2,2,4,2,2,3
50063,50064,Male,25,Returning,Business,Business,337,28,19.0,2,2,4,2,2,3,2,2,2,2,3,2,2,4
50064,50065,Female,31,Returning,Business,Business,1773,15,15.0,5,5,1,1,5,4,1,2,1,1,3,1,1,3
50065,50066,Female,42,Returning,Business,Economy,421,0,0.0,4,4,2,3,4,2,4,2,1,3,2,2,2,2
50066,50067,Female,45,Returning,Business,Business,2465,5,6.0,5,5,1,2,5,4,1,4,1,1,4,2,4,2
50067,50068,Male,53,Returning,Business,Economy,190,0,4.0,2,2,3,4,2,4,4,5,4,4,4,4,4,4
50068,50069,Male,19,Returning,Business,Business,1522,0,5.0,5,5,5,4,5,5,4,3,4,4,2,5,4,1
50069,50070,Male,55,Returning,Business,Business,199,0,0.0,2,2,2,3,2,2,4,2,2,5,2,2,2,2
50070,50071,Male,39,Returning,Business,Economy,373,2,4.0,5,5,4,5,5,3,5,4,5,5,2,5,5,1
50071,50072,Female,38,Returning,Business,Business,3672,0,0.0,5,4,3,3,5,2,3,2,3,5,2,1,2,1
50072,50073,Female,35,Returning,Business,Business,3864,92,80.0,5,5,2,3,5,1,3,1,1,3,1,3,1,3
50073,50074,Male,46,Returning,Business,Economy,278,0,0.0,1,1,1,4,1,1,4,1,4,4,1,4,4,4
50074,50075,Male,45,Returning,Business,Business,109,0,0.0,4,4,1,3,4,1,3,1,2,3,1,2,1,2
50075,50076,Female,54,Returning,Business,Business,1698,1,0.0,2,2,5,2,2,5,4,4,1,2,5,2,5,3
50076,50077,Female,50,Returning,Business,Business,1937,0,0.0,3,4,3,3,3,2,4,2,4,5,2,1,2,1
50077,50078,Female,35,Returning,Business,Economy,373,0,0.0,1,1,3,2,1,1,2,5,2,2,5,2,2,5
50078,50079,Female,33,Returning,Business,Business,1724,0,0.0,4,4,1,2,4,3,2,4,2,2,3,4,3,3
50079,50080,Male,32,Returning,Business,Business,262,61,51.0,2,2,2,4,2,1,4,5,4,4,2,2,4,1
50080,50081,Female,31,Returning,Business,Business,2331,1,8.0,2,2,3,5,2,3,5,1,5,5,5,2,5,5
50081,50082,Female,24,Returning,Business,Business,1742,0,0.0,3,3,3,1,3,4,2,5,1,1,4,2,1,3
50082,50083,Male,71,Returning,Business,Economy,262,0,5.0,5,5,2,1,5,4,2,5,2,2,1,1,2,1
50083,50084,Female,58,First-time,Business,Economy,421,0,0.0,2,3,3,3,3,1,4,3,4,4,3,3,4,4
50084,50085,Female,34,Returning,Business,Business,2957,73,69.0,4,4,1,4,4,3,4,3,3,2,3,1,3,1
50085,50086,Male,36,Returning,Business,Business,1548,11,19.0,4,4,2,3,4,2,3,2,2,1,2,2,2,2
50086,50087,Female,31,Returning,Business,Business,3388,0,0.0,0,0,4,5,1,1,5,2,5,5,5,0,5,3
50087,50088,Female,75,Returning,Business,Business,2802,0,0.0,2,5,2,3,2,4,4,3,3,1,4,1,4,1
50088,50089,Male,53,Returning,Business,Business,3917,0,0.0,3,3,4,4,3,3,3,3,4,5,3,3,3,3
50089,50090,Female,58,Returning,Business,Business,109,0,0.0,4,4,5,3,4,5,4,5,4,5,5,4,5,5
50090,50091,Male,36,First-time,Business,Economy,156,0,0.0,0,3,4,3,4,1,1,3,1,1,5,3,1,3
50091,50092,Male,46,Returning,Business,Economy,372,0,0.0,1,1,4,2,1,3,2,5,2,2,3,2,2,3
50092,50093,Male,44,Returning,Business,Economy,156,0,1.0,2,3,2,2,2,1,2,4,2,2,2,2,2,3
50093,50094,Female,35,First-time,Business,Economy,421,0,0.0,2,4,3,4,4,4,1,5,1,1,4,4,1,3
50094,50095,Female,56,Returning,Business,Economy,109,0,0.0,2,3,4,2,2,2,3,2,3,3,2,2,2,2
50095,50096,Male,42,Returning,Business,Business,86,34,63.0,4,4,2,2,4,3,3,3,4,3,3,2,3,2
50096,50097,Female,25,First-time,Business,Economy,372,0,12.0,2,3,3,3,3,3,1,2,1,1,3,3,1,4
50097,50098,Female,50,Returning,Business,Economy,266,0,0.0,1,1,1,3,1,1,3,1,3,5,1,1,1,1
50098,50099,Female,36,Returning,Business,Business,2450,0,0.0,3,3,3,4,3,4,1,4,5,4,4,3,4,4
50099,50100,Male,33,Returning,Business,Economy,209,0,0.0,2,2,4,5,2,3,5,3,5,5,1,5,5,1
50100,50101,Female,48,Returning,Business,Business,250,46,52.0,3,3,3,2,3,3,3,3,4,1,3,3,3,3
50101,50102,Female,50,Returning,Business,Business,3397,161,173.0,5,5,4,4,5,2,4,3,4,3,2,4,3,4
50102,50103,Female,39,Returning,Business,Economy,373,0,0.0,1,1,3,5,1,4,5,2,5,5,4,5,5,1
